Unnamed: 0,J,S,D,size,size_i,gamma,e,t,c,r,P,lab,mu,load,target_prob,vi_job_id,vi_attempts,vi_time,vi_iter,vi_g_tmp,vi_g,ospi_job_id,ospi_attempts,ospi_time,ospi_iter,ospi_g_tmp,ospi_g,ospi_opt_gap_tmp,ospi_opt_gap,sdf_job_id,sdf_attempts,sdf_time,sdf_iter,sdf_g_tmp,sdf_g,sdf_opt_gap_tmp,sdf_opt_gap,fcfs_job_id,fcfs_attempts,fcfs_time,fcfs_iter,fcfs_g_tmp,fcfs_g,fcfs_opt_gap_tmp,fcfs_opt_gap,pi_job_id,pi_attempts,pi_time,pi_iter,pi_g_tmp,pi_g,pi_opt_gap_tmp,pi_opt_gap,vi_opt_gap_tmp,vi_opt_gap
0,3,2,40,1860867,7443468,10,0.0001,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1000.0,"[0.07777777777777777, 0.2333333333333333, 0.4666666666666666]","[0.3333333333333333, 0.5, 0.6666666666666666]",0.7,0.5768059552108095,6657343_1,2,(HH:MM:SS): 13:43:24,1431,0.5517303471763928,0.5517303471763928,6610612_1,1,(HH:MM:SS): 10:36:50,891,0.5338668699065844,0.5338668699065844,0.032377188170324284,0.032377188170324284,6610825_1,1,(HH:MM:SS): 11:36:53,1211,0.4760126210749149,0.4760126210749149,0.13723683406029927,0.13723683406029927,6610955_1,1,(HH:MM:SS): 11:38:52,1211,0.4760126210749149,0.4760126210749149,0.13723683406029927,0.13723683406029927,6657982_1,3,1-00:00:00,0,,,,,0.0,0.0
1,3,2,40,1860867,7443468,10,0.0001,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1000.0,"[0.09999999999999999, 0.3, 0.6]","[0.3333333333333333, 0.5, 0.6666666666666666]",0.9,0.8555674102812804,6610549_2,1,(HH:MM:SS): 13:02:34,1171,0.5921299507220585,0.5921299507220585,6657360_1,2,(HH:MM:SS): 10:37:30,911,0.5268223534027735,0.5268223534027735,0.11029267686873002,0.11029267686873002,6610829_2,1,(HH:MM:SS): 11:52:11,1381,0.3927458897233009,0.3927458897233009,0.3367234857071891,0.3367234857071891,6610956_2,1,(HH:MM:SS): 11:52:06,1381,0.3927458897233009,0.3927458897233009,0.3367234857071891,0.3367234857071891,6657594_2,3,1-00:00:00,0,,,,,0.0,0.0
2,3,2,40,1860867,7443468,10,0.0001,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1000.0,"[0.15555555555555553, 0.2333333333333333, 0.31111111111111106]","[0.3333333333333333, 0.5, 0.6666666666666666]",0.7,0.5767283830045336,6610561_3,1,(HH:MM:SS): 12:39:01,1021,0.494114393989245,0.494114393989245,6610632_3,1,(HH:MM:SS): 10:21:57,521,0.4738169511159261,0.4738169511159261,0.04107842863966581,0.04107842863966581,6610877_3,1,(HH:MM:SS): 11:36:22,1191,0.4220444355159998,0.4220444355159998,0.1458568286007347,0.1458568286007347,6611003_3,1,(HH:MM:SS): 11:37:07,1191,0.4220444355159998,0.4220444355159998,0.1458568286007347,0.1458568286007347,6657984_3,2,1-00:00:00,0,,,,,0.0,0.0
3,3,2,40,1860867,7443468,10,0.0001,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1000.0,"[0.19999999999999998, 0.3, 0.39999999999999997]","[0.3333333333333333, 0.5, 0.6666666666666666]",0.9,0.8552875514357574,6610570_4,1,(HH:MM:SS): 12:46:38,1061,0.5388033191363016,0.5388033191363016,6610638_4,1,(HH:MM:SS): 10:26:39,651,0.4798563420772552,0.4798563420772552,0.10940351509626571,0.10940351509626571,6610911_4,1,(HH:MM:SS): 11:48:45,1341,0.3517690189182758,0.3517690189182758,0.3471290795272766,0.3471290795272766,6611004_4,1,(HH:MM:SS): 11:47:35,1341,0.3517690189182758,0.3517690189182758,0.3471290795272766,0.3471290795272766,6657985_4,2,1-00:00:00,0,,,,,0.0,0.0
4,3,3,40,4410944,17643776,10,0.0001,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1000.0,"[0.11666666666666665, 0.3499999999999999, 0.7]","[0.3333333333333333, 0.5, 0.6666666666666666]",0.7,0.4976380624872741,6657339_2,2,(HH:MM:SS): 10:59:08,1542,0.9268171787261964,0.9268171787261964,6610644_5,1,(HH:MM:SS): 11:19:26,761,0.9060342311859132,0.9060342311859132,0.022423999055398363,0.022423999055398363,6610949_5,1,(HH:MM:SS): 14:19:23,1271,0.8192918300628662,0.8192918300628662,0.11601570528840587,0.11601570528840587,6611005_5,1,(HH:MM:SS): 14:18:09,1271,0.8192918300628662,0.8192918300628662,0.11601570528840587,0.11601570528840587,6657986_5,2,1-00:00:00,0,,,,,0.0,0.0
5,3,3,40,4410944,17643776,10,0.0001,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1000.0,"[0.15, 0.45, 0.9]","[0.3333333333333333, 0.5, 0.6666666666666666]",0.9,0.8250763680277281,6610581_6,1,(HH:MM:SS): 17:45:03,1191,1.010246992111206,1.010246992111206,6610747_6,1,(HH:MM:SS): 11:24:22,781,0.9056472778320312,0.9056472778320312,0.10353875348896922,0.10353875348896922,6657403_1,1,(HH:MM:SS): 15:19:41,1571,0.6507682204246521,0.6507682204246521,0.35583255826906063,0.35583255826906063,6657430_1,1,(HH:MM:SS): 15:20:17,1571,0.6507682204246521,0.6507682204246521,0.35583255826906063,0.35583255826906063,6657987_6,2,1-00:00:00,0,,,,,0.0,0.0
6,3,3,40,4410944,17643776,10,0.0001,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1000.0,"[0.2333333333333333, 0.3499999999999999, 0.4666666666666666]","[0.3333333333333333, 0.5, 0.6666666666666666]",0.7,0.497056218040399,6610593_7,1,(HH:MM:SS): 16:29:06,1001,0.832282543182373,0.832282543182373,6610811_7,1,(HH:MM:SS): 11:05:43,611,0.8034961819648743,0.8034961819648743,0.034587246186168055,0.034587246186168055,6610954_7,1,(HH:MM:SS): 14:15:38,1261,0.7265018224716187,0.7265018224716187,0.12709712774496498,0.12709712774496498,6611244_7,1,(HH:MM:SS): 14:15:43,1261,0.7265018224716187,0.7265018224716187,0.12709712774496498,0.12709712774496498,6657988_7,2,1-00:00:00,0,,,,,0.0,0.0
7,3,3,40,4410944,17643776,10,0.0001,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1000.0,"[0.3, 0.45, 0.6]","[0.3333333333333333, 0.5, 0.6666666666666666]",0.9,0.8243407496872717,6609705_8,1,(HH:MM:SS): 15:57:07,911,0.9069232940673828,0.9069232940673828,6609711_8,1,(HH:MM:SS): 11:38:49,941,0.8011646866798401,0.8011646866798401,0.11661251627272134,0.11661251627272134,6609716_8,1,(HH:MM:SS): 15:09:41,1531,0.5833397507667542,0.5833397507667542,0.3567926255917592,0.3567926255917592,6657422_2,2,(HH:MM:SS): 15:12:21,1531,0.5833397507667542,0.5833397507667542,0.3567926255917592,0.3567926255917592,6657978_8,2,1-00:00:00,0,,,,,0.0,0.0
